family_size	count	fraction	fraction_gt_or_eq_family_size
193	4	1.23891E-7	0.000062
194	1	3.09729E-8	0.000062
195	6	1.85837E-7	0.000062
196	6	1.85837E-7	0.000061
197	3	9.29186E-8	0.000061
198	6	1.85837E-7	0.000061
199	4	1.23891E-7	0.000061
200	8	2.47783E-7	0.000061
201	2	6.19457E-8	0.000061
202	4	1.23891E-7	0.00006
203	6	1.85837E-7	0.00006
204	6	1.85837E-7	0.00006
205	4	1.23891E-7	0.00006
206	4	1.23891E-7	0.00006
207	4	1.23891E-7	0.00006
208	2	6.19457E-8	0.00006
209	2	6.19457E-8	0.00006
210	3	9.29186E-8	0.000059
211	3	9.29186E-8	0.000059
212	8	2.47783E-7	0.000059
213	6	1.85837E-7	0.000059
214	9	2.78756E-7	0.000059
215	6	1.85837E-7	0.000059
216	2	6.19457E-8	0.000058
217	6	1.85837E-7	0.000058
218	5	1.54864E-7	0.000058
219	4	1.23891E-7	0.000058
220	5	1.54864E-7	0.000058
221	5	1.54864E-7	0.000058
222	2	6.19457E-8	0.000058
223	5	1.54864E-7	0.000057
224	5	1.54864E-7	0.000057
225	1	3.09729E-8	0.000057
226	4	1.23891E-7	0.000057
227	1	3.09729E-8	0.000057
228	5	1.54864E-7	0.000057
229	1	3.09729E-8	0.000057
230	3	9.29186E-8	0.000057
231	7	2.1681E-7	0.000057
232	3	9.29186E-8	0.000056
233	2	6.19457E-8	0.000056
234	1	3.09729E-8	0.000056
235	5	1.54864E-7	0.000056
236	2	6.19457E-8	0.000056
237	4	1.23891E-7	0.000056
238	5	1.54864E-7	0.000056
239	11	3.40702E-7	0.000056
240	1	3.09729E-8	0.000055
241	5	1.54864E-7	0.000055
242	2	6.19457E-8	0.000055
243	3	9.29186E-8	0.000055
244	4	1.23891E-7	0.000055
245	4	1.23891E-7	0.000055
246	4	1.23891E-7	0.000055
247	2	6.19457E-8	0.000055
248	3	9.29186E-8	0.000055
249	2	6.19457E-8	0.000055
250	1	3.09729E-8	0.000055
251	4	1.23891E-7	0.000055
252	4	1.23891E-7	0.000054
254	1	3.09729E-8	0.000054
255	2	6.19457E-8	0.000054
256	1	3.09729E-8	0.000054
257	3	9.29186E-8	0.000054
258	1	3.09729E-8	0.000054
259	1	3.09729E-8	0.000054
260	2	6.19457E-8	0.000054
261	3	9.29186E-8	0.000054
262	5	1.54864E-7	0.000054
263	5	1.54864E-7	0.000054
264	3	9.29186E-8	0.000054
265	1	3.09729E-8	0.000053
266	1	3.09729E-8	0.000053
267	1	3.09729E-8	0.000053
268	1	3.09729E-8	0.000053
270	5	1.54864E-7	0.000053
271	6	1.85837E-7	0.000053
272	7	2.1681E-7	0.000053
273	2	6.19457E-8	0.000053
274	3	9.29186E-8	0.000053
275	4	1.23891E-7	0.000053
276	2	6.19457E-8	0.000052
277	1	3.09729E-8	0.000052
278	1	3.09729E-8	0.000052
279	3	9.29186E-8	0.000052
280	2	6.19457E-8	0.000052
281	2	6.19457E-8	0.000052
282	2	6.19457E-8	0.000052
283	3	9.29186E-8	0.000052
284	2	6.19457E-8	0.000052
285	2	6.19457E-8	0.000052
286	4	1.23891E-7	0.000052
287	3	9.29186E-8	0.000052
289	4	1.23891E-7	0.000052
290	1	3.09729E-8	0.000052
291	3	9.29186E-8	0.000051
292	6	1.85837E-7	0.000051
293	1	3.09729E-8	0.000051
294	3	9.29186E-8	0.000051
295	2	6.19457E-8	0.000051
296	3	9.29186E-8	0.000051
298	2	6.19457E-8	0.000051
299	3	9.29186E-8	0.000051
300	4	1.23891E-7	0.000051
301	2	6.19457E-8	0.000051
302	3	9.29186E-8	0.000051
303	5	1.54864E-7	0.00005
304	3	9.29186E-8	0.00005
305	3	9.29186E-8	0.00005
306	2	6.19457E-8	0.00005
309	3	9.29186E-8	0.00005
310	4	1.23891E-7	0.00005
311	5	1.54864E-7	0.00005
312	1	3.09729E-8	0.00005
313	1	3.09729E-8	0.00005
314	3	9.29186E-8	0.00005
315	1	3.09729E-8	0.00005
316	4	1.23891E-7	0.00005
317	1	3.09729E-8	0.000049
319	2	6.19457E-8	0.000049
320	1	3.09729E-8	0.000049
321	2	6.19457E-8	0.000049
322	1	3.09729E-8	0.000049
323	4	1.23891E-7	0.000049
325	1	3.09729E-8	0.000049
326	1	3.09729E-8	0.000049
327	2	6.19457E-8	0.000049
329	1	3.09729E-8	0.000049
330	5	1.54864E-7	0.000049
331	4	1.23891E-7	0.000049
332	2	6.19457E-8	0.000049
333	4	1.23891E-7	0.000049
335	3	9.29186E-8	0.000048
336	11	3.40702E-7	0.000048
337	1	3.09729E-8	0.000048
338	3	9.29186E-8	0.000048
340	3	9.29186E-8	0.000048
341	2	6.19457E-8	0.000048
342	4	1.23891E-7	0.000048
344	2	6.19457E-8	0.000048
345	2	6.19457E-8	0.000048
346	2	6.19457E-8	0.000047
347	1	3.09729E-8	0.000047
348	2	6.19457E-8	0.000047
349	3	9.29186E-8	0.000047
350	4	1.23891E-7	0.000047
351	3	9.29186E-8	0.000047
352	3	9.29186E-8	0.000047
353	2	6.19457E-8	0.000047
355	1	3.09729E-8	0.000047
356	3	9.29186E-8	0.000047
357	1	3.09729E-8	0.000047
358	2	6.19457E-8	0.000047
359	3	9.29186E-8	0.000047
360	1	3.09729E-8	0.000047
361	3	9.29186E-8	0.000047
364	1	3.09729E-8	0.000046
365	1	3.09729E-8	0.000046
366	4	1.23891E-7	0.000046
367	3	9.29186E-8	0.000046
368	3	9.29186E-8	0.000046
370	1	3.09729E-8	0.000046
371	2	6.19457E-8	0.000046
373	2	6.19457E-8	0.000046
374	1	3.09729E-8	0.000046
375	1	3.09729E-8	0.000046
376	2	6.19457E-8	0.000046
377	1	3.09729E-8	0.000046
379	3	9.29186E-8	0.000046
380	3	9.29186E-8	0.000046
381	1	3.09729E-8	0.000046
384	1	3.09729E-8	0.000046
385	4	1.23891E-7	0.000045
386	1	3.09729E-8	0.000045
387	2	6.19457E-8	0.000045
388	3	9.29186E-8	0.000045
389	1	3.09729E-8	0.000045
390	4	1.23891E-7	0.000045
391	6	1.85837E-7	0.000045
392	1	3.09729E-8	0.000045
393	1	3.09729E-8	0.000045
394	1	3.09729E-8	0.000045
395	1	3.09729E-8	0.000045
396	2	6.19457E-8	0.000045
397	4	1.23891E-7	0.000045
400	1	3.09729E-8	0.000045
401	5	1.54864E-7	0.000045
403	1	3.09729E-8	0.000044
404	3	9.29186E-8	0.000044
405	3	9.29186E-8	0.000044
406	5	1.54864E-7	0.000044
407	1	3.09729E-8	0.000044
408	1	3.09729E-8	0.000044
410	2	6.19457E-8	0.000044
411	2	6.19457E-8	0.000044
413	3	9.29186E-8	0.000044
415	3	9.29186E-8	0.000044
417	3	9.29186E-8	0.000044
418	1	3.09729E-8	0.000044
419	1	3.09729E-8	0.000043
420	1	3.09729E-8	0.000043
422	3	9.29186E-8	0.000043
423	3	9.29186E-8	0.000043
424	1	3.09729E-8	0.000043
425	2	6.19457E-8	0.000043
426	1	3.09729E-8	0.000043
428	2	6.19457E-8	0.000043
429	3	9.29186E-8	0.000043
430	2	6.19457E-8	0.000043
431	2	6.19457E-8	0.000043
432	1	3.09729E-8	0.000043
433	1	3.09729E-8	0.000043
434	2	6.19457E-8	0.000043
435	2	6.19457E-8	0.000043
436	1	3.09729E-8	0.000043
438	1	3.09729E-8	0.000043
439	2	6.19457E-8	0.000043
440	1	3.09729E-8	0.000043
442	1	3.09729E-8	0.000042
443	2	6.19457E-8	0.000042
444	2	6.19457E-8	0.000042
445	2	6.19457E-8	0.000042
448	1	3.09729E-8	0.000042
449	2	6.19457E-8	0.000042
450	2	6.19457E-8	0.000042
451	1	3.09729E-8	0.000042
452	1	3.09729E-8	0.000042
453	2	6.19457E-8	0.000042
454	2	6.19457E-8	0.000042
455	1	3.09729E-8	0.000042
457	2	6.19457E-8	0.000042
458	3	9.29186E-8	0.000042
460	2	6.19457E-8	0.000042
462	1	3.09729E-8	0.000042
463	2	6.19457E-8	0.000042
465	1	3.09729E-8	0.000042
466	4	1.23891E-7	0.000042
467	2	6.19457E-8	0.000041
468	1	3.09729E-8	0.000041
469	2	6.19457E-8	0.000041
470	2	6.19457E-8	0.000041
471	1	3.09729E-8	0.000041
472	2	6.19457E-8	0.000041
473	1	3.09729E-8	0.000041
474	1	3.09729E-8	0.000041
475	1	3.09729E-8	0.000041
476	2	6.19457E-8	0.000041
477	1	3.09729E-8	0.000041
482	1	3.09729E-8	0.000041
484	2	6.19457E-8	0.000041
485	1	3.09729E-8	0.000041
486	2	6.19457E-8	0.000041
487	1	3.09729E-8	0.000041
488	2	6.19457E-8	0.000041
489	4	1.23891E-7	0.000041
490	3	9.29186E-8	0.000041
491	2	6.19457E-8	0.00004
492	1	3.09729E-8	0.00004
493	1	3.09729E-8	0.00004
494	2	6.19457E-8	0.00004
495	2	6.19457E-8	0.00004
497	1	3.09729E-8	0.00004
499	1	3.09729E-8	0.00004
500	2	6.19457E-8	0.00004
502	1	3.09729E-8	0.00004
507	1	3.09729E-8	0.00004
509	5	1.54864E-7	0.00004
511	1	3.09729E-8	0.00004
512	1	3.09729E-8	0.00004
513	3	9.29186E-8	0.00004
514	1	3.09729E-8	0.00004
515	1	3.09729E-8	0.00004
516	1	3.09729E-8	0.00004
518	1	3.09729E-8	0.00004
519	1	3.09729E-8	0.00004
521	3	9.29186E-8	0.00004
522	1	3.09729E-8	0.000039
526	2	6.19457E-8	0.000039
527	1	3.09729E-8	0.000039
528	1	3.09729E-8	0.000039
532	1	3.09729E-8	0.000039
534	3	9.29186E-8	0.000039
535	1	3.09729E-8	0.000039
536	1	3.09729E-8	0.000039
538	1	3.09729E-8	0.000039
539	2	6.19457E-8	0.000039
541	3	9.29186E-8	0.000039
542	1	3.09729E-8	0.000039
544	1	3.09729E-8	0.000039
545	2	6.19457E-8	0.000039
547	1	3.09729E-8	0.000039
548	2	6.19457E-8	0.000039
550	1	3.09729E-8	0.000039
551	1	3.09729E-8	0.000039
553	5	1.54864E-7	0.000039
554	1	3.09729E-8	0.000038
555	1	3.09729E-8	0.000038
556	2	6.19457E-8	0.000038
557	1	3.09729E-8	0.000038
558	1	3.09729E-8	0.000038
559	1	3.09729E-8	0.000038
561	7	2.1681E-7	0.000038
563	3	9.29186E-8	0.000038
564	1	3.09729E-8	0.000038
565	2	6.19457E-8	0.000038
