family_size	count	fraction	fraction_gt_or_eq_family_size
1	30086473	0.70356	1
2	8174687	0.191162	0.29644
3	2454899	0.057407	0.105279
4	896515	0.020965	0.047872
5	410860	0.009608	0.026907
6	208172	0.004868	0.017299
7	141249	0.003303	0.012431
8	87246	0.00204	0.009128
9	62244	0.001456	0.007088
10	45576	0.001066	0.005633
11	34216	0.0008	0.004567
12	24578	0.000575	0.003767
13	21183	0.000495	0.003192
14	15921	0.000372	0.002697
15	12649	0.000296	0.002324
16	10570	0.000247	0.002028
17	8740	0.000204	0.001781
18	7029	0.000164	0.001577
19	6149	0.000144	0.001413
20	5282	0.000124	0.001269
21	4410	0.000103	0.001145
22	3730	0.000087	0.001042
23	3332	0.000078	0.000955
24	2992	0.00007	0.000877
25	2512	0.000059	0.000807
26	2214	0.000052	0.000748
27	2002	0.000047	0.000697
28	1788	0.000042	0.00065
29	1633	0.000038	0.000608
30	1413	0.000033	0.00057
31	1279	0.00003	0.000537
32	1153	0.000027	0.000507
33	1026	0.000024	0.00048
34	1034	0.000024	0.000456
35	856	0.00002	0.000432
36	806	0.000019	0.000412
37	781	0.000018	0.000393
38	701	0.000016	0.000374
39	636	0.000015	0.000358
40	579	0.000014	0.000343
41	502	0.000012	0.00033
42	502	0.000012	0.000318
43	470	0.000011	0.000306
44	411	9.61106E-6	0.000295
45	401	9.37722E-6	0.000286
46	368	8.60553E-6	0.000276
47	360	8.41845E-6	0.000268
48	329	7.69353E-6	0.000259
49	323	7.55322E-6	0.000252
50	279	6.5243E-6	0.000244
51	272	6.36061E-6	0.000237
52	232	5.42522E-6	0.000231
53	212	4.95753E-6	0.000226
54	224	5.23815E-6	0.000221
55	193	4.51322E-6	0.000215
56	204	4.77046E-6	0.000211
57	181	4.23261E-6	0.000206
58	172	4.02215E-6	0.000202
59	169	3.95199E-6	0.000198
60	150	3.50769E-6	0.000194
61	169	3.95199E-6	0.00019
62	146	3.41415E-6	0.000186
63	144	3.36738E-6	0.000183
64	110	2.5723E-6	0.00018
65	146	3.41415E-6	0.000177
66	138	3.22707E-6	0.000174
67	139	3.25046E-6	0.00017
68	124	2.89969E-6	0.000167
69	92	2.15138E-6	0.000164
70	110	2.5723E-6	0.000162
71	88	2.05784E-6	0.00016
72	80	1.87077E-6	0.000158
73	75	1.75384E-6	0.000156
74	95	2.22154E-6	0.000154
75	68	1.59015E-6	0.000152
76	83	1.94092E-6	0.00015
77	78	1.824E-6	0.000148
78	70	1.63692E-6	0.000146
79	59	1.37969E-6	0.000145
80	66	1.54338E-6	0.000143
81	68	1.59015E-6	0.000142
82	76	1.77723E-6	0.00014
83	67	1.56677E-6	0.000138
84	72	1.68369E-6	0.000137
85	67	1.56677E-6	0.000135
86	57	1.33292E-6	0.000134
87	53	1.23938E-6	0.000132
88	51	1.19261E-6	0.000131
89	49	1.14584E-6	0.00013
90	57	1.33292E-6	0.000129
91	44	1.02892E-6	0.000127
92	41	9.58768E-7	0.000126
93	49	1.14584E-6	0.000125
94	56	1.30954E-6	0.000124
95	54	1.26277E-6	0.000123
96	42	9.82153E-7	0.000122
97	40	9.35383E-7	0.000121
98	32	7.48307E-7	0.00012
99	41	9.58768E-7	0.000119
100	32	7.48307E-7	0.000118
101	42	9.82153E-7	0.000117
102	43	1.00554E-6	0.000116
103	31	7.24922E-7	0.000115
104	45	1.05231E-6	0.000115
105	30	7.01538E-7	0.000114
106	39	9.11999E-7	0.000113
107	34	7.95076E-7	0.000112
108	33	7.71691E-7	0.000111
109	38	8.88614E-7	0.00011
110	21	4.91076E-7	0.000109
111	35	8.1846E-7	0.000109
112	35	8.1846E-7	0.000108
113	29	6.78153E-7	0.000107
114	22	5.14461E-7	0.000107
115	25	5.84615E-7	0.000106
116	24	5.6123E-7	0.000106
117	33	7.71691E-7	0.000105
118	22	5.14461E-7	0.000104
119	24	5.6123E-7	0.000104
120	23	5.37845E-7	0.000103
121	17	3.97538E-7	0.000103
122	21	4.91076E-7	0.000102
123	26	6.07999E-7	0.000102
124	36	8.41845E-7	0.000101
125	24	5.6123E-7	0.0001
126	34	7.95076E-7	0.0001
127	19	4.44307E-7	0.000099
128	18	4.20923E-7	0.000098
129	16	3.74153E-7	0.000098
130	19	4.44307E-7	0.000098
131	16	3.74153E-7	0.000097
132	29	6.78153E-7	0.000097
133	18	4.20923E-7	0.000096
134	23	5.37845E-7	0.000096
135	21	4.91076E-7	0.000095
136	18	4.20923E-7	0.000095
137	21	4.91076E-7	0.000094
138	24	5.6123E-7	0.000094
139	20	4.67692E-7	0.000093
140	17	3.97538E-7	0.000093
141	20	4.67692E-7	0.000092
142	17	3.97538E-7	0.000092
143	18	4.20923E-7	0.000092
144	19	4.44307E-7	0.000091
145	16	3.74153E-7	0.000091
146	13	3.04E-7	0.00009
147	13	3.04E-7	0.00009
148	15	3.50769E-7	0.00009
149	16	3.74153E-7	0.000089
150	15	3.50769E-7	0.000089
151	17	3.97538E-7	0.000089
152	20	4.67692E-7	0.000088
153	9	2.10461E-7	0.000088
154	21	4.91076E-7	0.000088
155	13	3.04E-7	0.000087
156	14	3.27384E-7	0.000087
157	10	2.33846E-7	0.000086
158	7	1.63692E-7	0.000086
159	13	3.04E-7	0.000086
160	8	1.87077E-7	0.000086
161	19	4.44307E-7	0.000086
162	10	2.33846E-7	0.000085
163	7	1.63692E-7	0.000085
164	12	2.80615E-7	0.000085
165	6	1.40308E-7	0.000084
166	8	1.87077E-7	0.000084
167	5	1.16923E-7	0.000084
168	9	2.10461E-7	0.000084
169	10	2.33846E-7	0.000084
170	7	1.63692E-7	0.000084
171	13	3.04E-7	0.000083
172	4	9.35383E-8	0.000083
173	14	3.27384E-7	0.000083
174	7	1.63692E-7	0.000083
175	17	3.97538E-7	0.000082
176	4	9.35383E-8	0.000082
177	14	3.27384E-7	0.000082
178	8	1.87077E-7	0.000082
179	18	4.20923E-7	0.000081
180	8	1.87077E-7	0.000081
181	14	3.27384E-7	0.000081
182	8	1.87077E-7	0.000081
183	5	1.16923E-7	0.00008
184	11	2.5723E-7	0.00008
185	13	3.04E-7	0.00008
186	6	1.40308E-7	0.00008
187	10	2.33846E-7	0.00008
188	8	1.87077E-7	0.000079
189	11	2.5723E-7	0.000079
190	5	1.16923E-7	0.000079
191	8	1.87077E-7	0.000079
192	8	1.87077E-7	0.000079
193	3	7.01538E-8	0.000078
194	10	2.33846E-7	0.000078
195	18	4.20923E-7	0.000078
196	4	9.35383E-8	0.000078
197	10	2.33846E-7	0.000078
198	6	1.40308E-7	0.000077
199	8	1.87077E-7	0.000077
200	8	1.87077E-7	0.000077
201	6	1.40308E-7	0.000077
202	5	1.16923E-7	0.000077
203	9	2.10461E-7	0.000077
204	10	2.33846E-7	0.000076
205	10	2.33846E-7	0.000076
206	4	9.35383E-8	0.000076
207	10	2.33846E-7	0.000076
208	8	1.87077E-7	0.000076
209	10	2.33846E-7	0.000075
210	12	2.80615E-7	0.000075
211	4	9.35383E-8	0.000075
212	6	1.40308E-7	0.000075
213	7	1.63692E-7	0.000075
214	8	1.87077E-7	0.000074
215	4	9.35383E-8	0.000074
216	6	1.40308E-7	0.000074
217	3	7.01538E-8	0.000074
218	3	7.01538E-8	0.000074
219	6	1.40308E-7	0.000074
220	9	2.10461E-7	0.000074
221	9	2.10461E-7	0.000073
222	7	1.63692E-7	0.000073
223	10	2.33846E-7	0.000073
224	9	2.10461E-7	0.000073
225	7	1.63692E-7	0.000073
226	7	1.63692E-7	0.000073
227	3	7.01538E-8	0.000072
228	6	1.40308E-7	0.000072
229	6	1.40308E-7	0.000072
230	8	1.87077E-7	0.000072
231	9	2.10461E-7	0.000072
232	4	9.35383E-8	0.000072
233	3	7.01538E-8	0.000072
234	2	4.67692E-8	0.000071
235	5	1.16923E-7	0.000071
236	7	1.63692E-7	0.000071
237	8	1.87077E-7	0.000071
238	10	2.33846E-7	0.000071
239	6	1.40308E-7	0.000071
240	4	9.35383E-8	0.000071
241	5	1.16923E-7	0.00007
242	5	1.16923E-7	0.00007
243	7	1.63692E-7	0.00007
244	5	1.16923E-7	0.00007
245	3	7.01538E-8	0.00007
246	4	9.35383E-8	0.00007
247	6	1.40308E-7	0.00007
248	5	1.16923E-7	0.00007
249	4	9.35383E-8	0.00007
250	11	2.5723E-7	0.000069
251	3	7.01538E-8	0.000069
252	6	1.40308E-7	0.000069
253	8	1.87077E-7	0.000069
254	5	1.16923E-7	0.000069
255	6	1.40308E-7	0.000069
256	5	1.16923E-7	0.000069
257	6	1.40308E-7	0.000068
258	2	4.67692E-8	0.000068
259	1	2.33846E-8	0.000068
260	6	1.40308E-7	0.000068
261	6	1.40308E-7	0.000068
262	4	9.35383E-8	0.000068
263	8	1.87077E-7	0.000068
264	4	9.35383E-8	0.000068
265	6	1.40308E-7	0.000068
266	2	4.67692E-8	0.000067
267	3	7.01538E-8	0.000067
268	6	1.40308E-7	0.000067
269	8	1.87077E-7	0.000067
270	3	7.01538E-8	0.000067
