family_size	count	fraction	fraction_gt_or_eq_family_size
1	25262426	0.773577	1
2	5177514	0.158544	0.226423
3	1237052	0.037881	0.067879
4	423263	0.012961	0.029998
5	195074	0.005973	0.017037
6	101639	0.003112	0.011064
7	69452	0.002127	0.007951
8	43029	0.001318	0.005825
9	30368	0.00093	0.004507
10	22085	0.000676	0.003577
11	16736	0.000512	0.002901
12	11993	0.000367	0.002388
13	10153	0.000311	0.002021
14	7569	0.000232	0.00171
15	6034	0.000185	0.001478
16	5076	0.000155	0.001294
17	4107	0.000126	0.001138
18	3392	0.000104	0.001012
19	2950	0.00009	0.000909
20	2461	0.000075	0.000818
21	2079	0.000064	0.000743
22	1833	0.000056	0.000679
23	1561	0.000048	0.000623
24	1350	0.000041	0.000575
25	1221	0.000037	0.000534
26	1103	0.000034	0.000497
27	975	0.00003	0.000463
28	853	0.000026	0.000433
29	769	0.000024	0.000407
30	733	0.000022	0.000383
31	650	0.00002	0.000361
32	586	0.000018	0.000341
33	495	0.000015	0.000323
34	461	0.000014	0.000308
35	431	0.000013	0.000294
36	404	0.000012	0.000281
37	356	0.000011	0.000268
38	312	9.55395E-6	0.000257
39	279	8.54344E-6	0.000248
40	267	8.17598E-6	0.000239
41	243	7.44106E-6	0.000231
42	221	6.76738E-6	0.000224
43	207	6.33868E-6	0.000217
44	225	6.88987E-6	0.00021
45	175	5.35879E-6	0.000204
46	182	5.57314E-6	0.000198
47	157	4.8076E-6	0.000193
48	150	4.59325E-6	0.000188
49	157	4.8076E-6	0.000183
50	135	4.13392E-6	0.000178
51	141	4.31765E-6	0.000174
52	103	3.15403E-6	0.00017
53	103	3.15403E-6	0.000167
54	114	3.49087E-6	0.000164
55	118	3.61335E-6	0.00016
56	105	3.21527E-6	0.000157
57	93	2.84781E-6	0.000153
58	94	2.87844E-6	0.00015
59	83	2.5416E-6	0.000148
60	91	2.78657E-6	0.000145
61	96	2.93968E-6	0.000142
62	81	2.48035E-6	0.000139
63	73	2.23538E-6	0.000137
64	62	1.89854E-6	0.000135
65	56	1.71481E-6	0.000133
66	45	1.37797E-6	0.000131
67	60	1.8373E-6	0.00013
68	57	1.74543E-6	0.000128
69	48	1.46984E-6	0.000126
70	54	1.65357E-6	0.000125
71	63	1.92916E-6	0.000123
72	66	2.02103E-6	0.000121
73	47	1.43922E-6	0.000119
74	40	1.22487E-6	0.000118
75	44	1.34735E-6	0.000116
76	42	1.28611E-6	0.000115
77	47	1.43922E-6	0.000114
78	36	1.10238E-6	0.000112
79	25	7.65541E-7	0.000111
80	33	1.01051E-6	0.00011
81	39	1.19424E-6	0.000109
82	27	8.26785E-7	0.000108
83	25	7.65541E-7	0.000107
84	26	7.96163E-7	0.000107
85	29	8.88028E-7	0.000106
86	29	8.88028E-7	0.000105
87	27	8.26785E-7	0.000104
88	27	8.26785E-7	0.000103
89	15	4.59325E-7	0.000102
90	20	6.12433E-7	0.000102
91	25	7.65541E-7	0.000101
92	28	8.57406E-7	0.000101
93	31	9.49271E-7	0.0001
94	19	5.81811E-7	0.000099
95	37	1.133E-6	0.000098
96	30	9.18649E-7	0.000097
97	17	5.20568E-7	0.000096
98	17	5.20568E-7	0.000096
99	20	6.12433E-7	0.000095
100	18	5.5119E-7	0.000094
101	19	5.81811E-7	0.000094
102	16	4.89946E-7	0.000093
103	19	5.81811E-7	0.000093
104	13	3.98081E-7	0.000092
105	19	5.81811E-7	0.000092
106	17	5.20568E-7	0.000091
107	17	5.20568E-7	0.000091
108	18	5.5119E-7	0.00009
109	20	6.12433E-7	0.00009
110	19	5.81811E-7	0.000089
111	24	7.3492E-7	0.000088
112	14	4.28703E-7	0.000088
113	15	4.59325E-7	0.000087
114	15	4.59325E-7	0.000087
115	11	3.36838E-7	0.000086
116	12	3.6746E-7	0.000086
117	11	3.36838E-7	0.000086
118	11	3.36838E-7	0.000085
119	15	4.59325E-7	0.000085
120	17	5.20568E-7	0.000085
121	16	4.89946E-7	0.000084
122	16	4.89946E-7	0.000084
123	14	4.28703E-7	0.000083
124	16	4.89946E-7	0.000083
125	17	5.20568E-7	0.000082
126	9	2.75595E-7	0.000082
127	13	3.98081E-7	0.000081
128	8	2.44973E-7	0.000081
129	9	2.75595E-7	0.000081
130	9	2.75595E-7	0.00008
131	13	3.98081E-7	0.00008
132	9	2.75595E-7	0.00008
133	9	2.75595E-7	0.000079
134	16	4.89946E-7	0.000079
135	7	2.14352E-7	0.000079
136	5	1.53108E-7	0.000078
137	13	3.98081E-7	0.000078
138	15	4.59325E-7	0.000078
139	12	3.6746E-7	0.000077
140	9	2.75595E-7	0.000077
141	6	1.8373E-7	0.000077
142	13	3.98081E-7	0.000077
143	6	1.8373E-7	0.000076
144	10	3.06216E-7	0.000076
145	4	1.22487E-7	0.000076
146	11	3.36838E-7	0.000076
147	9	2.75595E-7	0.000075
148	9	2.75595E-7	0.000075
149	8	2.44973E-7	0.000075
150	5	1.53108E-7	0.000074
151	9	2.75595E-7	0.000074
152	12	3.6746E-7	0.000074
153	4	1.22487E-7	0.000074
154	12	3.6746E-7	0.000074
155	8	2.44973E-7	0.000073
156	7	2.14352E-7	0.000073
157	9	2.75595E-7	0.000073
158	10	3.06216E-7	0.000072
159	3	9.18649E-8	0.000072
160	8	2.44973E-7	0.000072
161	6	1.8373E-7	0.000072
162	7	2.14352E-7	0.000072
163	6	1.8373E-7	0.000071
164	6	1.8373E-7	0.000071
165	5	1.53108E-7	0.000071
166	8	2.44973E-7	0.000071
167	7	2.14352E-7	0.000071
168	3	9.18649E-8	0.00007
169	4	1.22487E-7	0.00007
170	5	1.53108E-7	0.00007
171	5	1.53108E-7	0.00007
172	7	2.14352E-7	0.00007
173	8	2.44973E-7	0.00007
174	4	1.22487E-7	0.000069
175	3	9.18649E-8	0.000069
176	6	1.8373E-7	0.000069
177	4	1.22487E-7	0.000069
178	8	2.44973E-7	0.000069
179	8	2.44973E-7	0.000069
180	10	3.06216E-7	0.000068
181	9	2.75595E-7	0.000068
182	6	1.8373E-7	0.000068
183	7	2.14352E-7	0.000068
184	7	2.14352E-7	0.000067
185	8	2.44973E-7	0.000067
186	5	1.53108E-7	0.000067
187	3	9.18649E-8	0.000067
188	4	1.22487E-7	0.000067
189	5	1.53108E-7	0.000067
