family_size	count	fraction	fraction_gt_or_eq_family_size
1	28795499	0.745599	1
2	6667426	0.172639	0.254401
3	1736294	0.044958	0.081762
4	605894	0.015688	0.036805
5	280303	0.007258	0.021116
6	145531	0.003768	0.013858
7	101463	0.002627	0.01009
8	62804	0.001626	0.007463
9	44520	0.001153	0.005837
10	33263	0.000861	0.004684
11	25169	0.000652	0.003823
12	17905	0.000464	0.003171
13	15608	0.000404	0.002707
14	11845	0.000307	0.002303
15	9208	0.000238	0.001997
16	7887	0.000204	0.001758
17	6535	0.000169	0.001554
18	5307	0.000137	0.001385
19	4586	0.000119	0.001247
20	3900	0.000101	0.001129
21	3312	0.000086	0.001028
22	2828	0.000073	0.000942
23	2535	0.000066	0.000869
24	2187	0.000057	0.000803
25	1961	0.000051	0.000746
26	1744	0.000045	0.000696
27	1518	0.000039	0.00065
28	1335	0.000035	0.000611
29	1249	0.000032	0.000577
30	1083	0.000028	0.000544
31	1041	0.000027	0.000516
32	967	0.000025	0.000489
33	818	0.000021	0.000464
34	799	0.000021	0.000443
35	711	0.000018	0.000422
36	673	0.000017	0.000404
37	605	0.000016	0.000386
38	561	0.000015	0.000371
39	503	0.000013	0.000356
40	430	0.000011	0.000343
41	424	0.000011	0.000332
42	418	0.000011	0.000321
43	371	9.60626E-6	0.00031
44	375	9.70984E-6	0.000301
45	335	8.67412E-6	0.000291
46	286	7.40537E-6	0.000282
47	302	7.81965E-6	0.000275
48	288	7.45715E-6	0.000267
49	264	6.83572E-6	0.00026
50	257	6.65447E-6	0.000253
51	236	6.11072E-6	0.000246
52	248	6.42144E-6	0.00024
53	197	5.1009E-6	0.000234
54	200	5.17858E-6	0.000229
55	181	4.68661E-6	0.000223
56	156	4.03929E-6	0.000219
57	163	4.22054E-6	0.000215
58	170	4.40179E-6	0.00021
59	149	3.85804E-6	0.000206
60	157	4.06518E-6	0.000202
61	130	3.36608E-6	0.000198
62	139	3.59911E-6	0.000195
63	137	3.54733E-6	0.000191
64	118	3.05536E-6	0.000188
65	106	2.74465E-6	0.000184
66	121	3.13304E-6	0.000182
67	110	2.84822E-6	0.000179
68	99	2.5634E-6	0.000176
69	95	2.45983E-6	0.000173
70	106	2.74465E-6	0.000171
71	85	2.2009E-6	0.000168
72	84	2.175E-6	0.000166
73	76	1.96786E-6	0.000164
74	79	2.04554E-6	0.000162
75	79	2.04554E-6	0.00016
76	79	2.04554E-6	0.000158
77	75	1.94197E-6	0.000156
78	81	2.09732E-6	0.000154
79	81	2.09732E-6	0.000151
80	78	2.01965E-6	0.000149
