family_size	count	fraction	fraction_gt_or_eq_family_size
1	28896617	0.745928	1
2	6660140	0.171923	0.254072
3	1744353	0.045028	0.08215
4	613302	0.015832	0.037121
5	285714	0.007375	0.02129
6	148717	0.003839	0.013914
7	102995	0.002659	0.010076
8	63467	0.001638	0.007417
9	45498	0.001174	0.005779
10	33617	0.000868	0.004604
11	25055	0.000647	0.003736
12	17947	0.000463	0.00309
13	15305	0.000395	0.002626
14	11683	0.000302	0.002231
15	9226	0.000238	0.00193
16	7878	0.000203	0.001691
17	6579	0.00017	0.001488
18	5140	0.000133	0.001318
19	4610	0.000119	0.001186
20	3828	0.000099	0.001067
21	3225	0.000083	0.000968
22	2857	0.000074	0.000885
23	2491	0.000064	0.000811
24	2169	0.000056	0.000746
25	1906	0.000049	0.00069
26	1636	0.000042	0.000641
27	1461	0.000038	0.000599
28	1333	0.000034	0.000561
29	1218	0.000031	0.000527
30	1043	0.000027	0.000495
31	948	0.000024	0.000469
32	893	0.000023	0.000444
33	728	0.000019	0.000421
34	761	0.00002	0.000402
35	664	0.000017	0.000383
36	591	0.000015	0.000365
37	558	0.000014	0.00035
38	497	0.000013	0.000336
39	511	0.000013	0.000323
40	453	0.000012	0.00031
41	391	0.00001	0.000298
42	368	9.49943E-6	0.000288
43	356	9.18967E-6	0.000279
44	312	8.05387E-6	0.000269
45	318	8.20875E-6	0.000261
46	257	6.63411E-6	0.000253
47	268	6.91806E-6	0.000246
48	241	6.22109E-6	0.000239
49	234	6.0404E-6	0.000233
50	226	5.83389E-6	0.000227
51	209	5.39506E-6	0.000221
52	197	5.08529E-6	0.000216
53	175	4.51739E-6	0.000211
54	169	4.36251E-6	0.000206
55	143	3.69136E-6	0.000202
56	144	3.71717E-6	0.000198
57	153	3.94949E-6	0.000195
58	157	4.05275E-6	0.000191
59	123	3.17508E-6	0.000187
60	117	3.0202E-6	0.000183
61	111	2.86532E-6	0.00018
62	120	3.09764E-6	0.000178
63	111	2.86532E-6	0.000174
64	102	2.63299E-6	0.000172
65	106	2.73625E-6	0.000169
66	118	3.04601E-6	0.000166
67	108	2.78788E-6	0.000163
68	91	2.34904E-6	0.00016
69	79	2.03928E-6	0.000158
70	74	1.91021E-6	0.000156
71	73	1.8844E-6	0.000154
72	61	1.57463E-6	0.000152
73	57	1.47138E-6	0.000151
74	82	2.11672E-6	0.000149
75	74	1.91021E-6	0.000147
76	78	2.01347E-6	0.000145
77	77	1.98765E-6	0.000143
78	58	1.49719E-6	0.000141
79	51	1.3165E-6	0.00014
80	58	1.49719E-6	0.000138
81	60	1.54882E-6	0.000137
82	56	1.44557E-6	0.000135
83	55	1.41975E-6	0.000134
84	46	1.18743E-6	0.000132
85	54	1.39394E-6	0.000131
86	45	1.16162E-6	0.00013
87	41	1.05836E-6	0.000129
88	46	1.18743E-6	0.000128
89	54	1.39394E-6	0.000126
90	33	8.51851E-7	0.000125
91	47	1.21324E-6	0.000124
92	40	1.03255E-6	0.000123
93	36	9.29292E-7	0.000122
94	42	1.08417E-6	0.000121
95	30	7.7441E-7	0.00012
96	38	9.8092E-7	0.000119
97	32	8.26037E-7	0.000118
98	32	8.26037E-7	0.000117
99	29	7.48596E-7	0.000117
100	31	8.00224E-7	0.000116
101	28	7.22783E-7	0.000115
102	31	8.00224E-7	0.000114
103	35	9.03479E-7	0.000113
104	32	8.26037E-7	0.000113
105	31	8.00224E-7	0.000112
106	24	6.19528E-7	0.000111
107	27	6.96969E-7	0.00011
108	21	5.42087E-7	0.00011
109	25	6.45342E-7	0.000109
110	30	7.7441E-7	0.000108
111	21	5.42087E-7	0.000108
112	23	5.93714E-7	0.000107
113	22	5.67901E-7	0.000107
114	33	8.51851E-7	0.000106
115	30	7.7441E-7	0.000105
116	19	4.9046E-7	0.000104
117	25	6.45342E-7	0.000104
118	20	5.16273E-7	0.000103
119	21	5.42087E-7	0.000103
120	19	4.9046E-7	0.000102
121	21	5.42087E-7	0.000102
122	26	6.71155E-7	0.000101
123	24	6.19528E-7	0.0001
124	21	5.42087E-7	0.0001
125	28	7.22783E-7	0.000099
126	19	4.9046E-7	0.000099
127	20	5.16273E-7	0.000098
128	18	4.64646E-7	0.000098
129	15	3.87205E-7	0.000097
130	14	3.61391E-7	0.000097
131	17	4.38832E-7	0.000096
132	14	3.61391E-7	0.000096
133	13	3.35578E-7	0.000096
134	16	4.13019E-7	0.000095
135	15	3.87205E-7	0.000095
136	18	4.64646E-7	0.000094
137	13	3.35578E-7	0.000094
138	12	3.09764E-7	0.000094
139	13	3.35578E-7	0.000093
140	23	5.93714E-7	0.000093
141	15	3.87205E-7	0.000092
142	10	2.58137E-7	0.000092
143	14	3.61391E-7	0.000092
144	19	4.9046E-7	0.000091
145	13	3.35578E-7	0.000091
146	13	3.35578E-7	0.000091
147	22	5.67901E-7	0.00009
148	9	2.32323E-7	0.00009
149	13	3.35578E-7	0.000089
150	12	3.09764E-7	0.000089
151	10	2.58137E-7	0.000089
152	9	2.32323E-7	0.000088
153	9	2.32323E-7	0.000088
154	4	1.03255E-7	0.000088
155	12	3.09764E-7	0.000088
156	13	3.35578E-7	0.000088
157	10	2.58137E-7	0.000087
158	8	2.06509E-7	0.000087
159	10	2.58137E-7	0.000087
160	12	3.09764E-7	0.000087
161	12	3.09764E-7	0.000086
162	12	3.09764E-7	0.000086
163	12	3.09764E-7	0.000086
164	10	2.58137E-7	0.000085
165	8	2.06509E-7	0.000085
166	10	2.58137E-7	0.000085
167	10	2.58137E-7	0.000085
168	12	3.09764E-7	0.000084
169	11	2.8395E-7	0.000084
170	14	3.61391E-7	0.000084
171	8	2.06509E-7	0.000083
172	4	1.03255E-7	0.000083
173	9	2.32323E-7	0.000083
174	6	1.54882E-7	0.000083
175	5	1.29068E-7	0.000083
176	8	2.06509E-7	0.000083
177	5	1.29068E-7	0.000082
178	10	2.58137E-7	0.000082
179	10	2.58137E-7	0.000082
180	10	2.58137E-7	0.000082
181	14	3.61391E-7	0.000081
182	5	1.29068E-7	0.000081
183	4	1.03255E-7	0.000081
184	7	1.80696E-7	0.000081
185	11	2.8395E-7	0.000081
186	12	3.09764E-7	0.00008
187	6	1.54882E-7	0.00008
188	11	2.8395E-7	0.00008
189	8	2.06509E-7	0.00008
190	13	3.35578E-7	0.000079
191	12	3.09764E-7	0.000079
192	8	2.06509E-7	0.000079
193	10	2.58137E-7	0.000079
194	9	2.32323E-7	0.000078
195	9	2.32323E-7	0.000078
196	9	2.32323E-7	0.000078
197	9	2.32323E-7	0.000078
198	5	1.29068E-7	0.000077
199	10	2.58137E-7	0.000077
200	9	2.32323E-7	0.000077
201	4	1.03255E-7	0.000077
202	7	1.80696E-7	0.000077
203	10	2.58137E-7	0.000076
204	7	1.80696E-7	0.000076
205	8	2.06509E-7	0.000076
206	5	1.29068E-7	0.000076
207	8	2.06509E-7	0.000076
208	5	1.29068E-7	0.000075
209	11	2.8395E-7	0.000075
210	7	1.80696E-7	0.000075
211	5	1.29068E-7	0.000075
212	7	1.80696E-7	0.000075
213	6	1.54882E-7	0.000075
214	8	2.06509E-7	0.000074
215	9	2.32323E-7	0.000074
216	4	1.03255E-7	0.000074
217	9	2.32323E-7	0.000074
218	3	7.7441E-8	0.000074
219	5	1.29068E-7	0.000074
220	4	1.03255E-7	0.000073
221	4	1.03255E-7	0.000073
222	3	7.7441E-8	0.000073
223	7	1.80696E-7	0.000073
224	7	1.80696E-7	0.000073
225	10	2.58137E-7	0.000073
226	2	5.16273E-8	0.000073
227	6	1.54882E-7	0.000072
228	10	2.58137E-7	0.000072
229	8	2.06509E-7	0.000072
230	7	1.80696E-7	0.000072
231	5	1.29068E-7	0.000072
232	5	1.29068E-7	0.000072
233	4	1.03255E-7	0.000071
234	8	2.06509E-7	0.000071
235	4	1.03255E-7	0.000071
236	8	2.06509E-7	0.000071
237	7	1.80696E-7	0.000071
238	6	1.54882E-7	0.000071
239	6	1.54882E-7	0.00007
240	3	7.7441E-8	0.00007
241	5	1.29068E-7	0.00007
242	3	7.7441E-8	0.00007
243	4	1.03255E-7	0.00007
244	4	1.03255E-7	0.00007
245	8	2.06509E-7	0.00007
246	5	1.29068E-7	0.00007
247	4	1.03255E-7	0.000069
248	6	1.54882E-7	0.000069
249	6	1.54882E-7	0.000069
250	2	5.16273E-8	0.000069
251	5	1.29068E-7	0.000069
252	3	7.7441E-8	0.000069
253	8	2.06509E-7	0.000069
254	4	1.03255E-7	0.000069
255	8	2.06509E-7	0.000069
256	6	1.54882E-7	0.000068
257	8	2.06509E-7	0.000068
258	6	1.54882E-7	0.000068
259	3	7.7441E-8	0.000068
260	6	1.54882E-7	0.000068
261	4	1.03255E-7	0.000068
262	4	1.03255E-7	0.000067
263	3	7.7441E-8	0.000067
