Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,8690,40679,0.17602138994105612
N2,2,15713,65209,0.19417463730505918
N2,3,10673,45959,0.18846235343975137
PRDE1,1,11644,46694,0.1995954609345538
PRDE1,2,11190,46428,0.19421014266375092
PRDE1,3,11809,47707,0.19841723234088313
