Sample,Replicate,Total_Replicate_Depth,Total_Alt_NMD,NMD_Rate
N2,1,49369,8,1.6204500800097226e-4
N2,2,80934,47,5.807200929152149e-4
N2,3,56632,31,5.473936996750954e-4
PRDE1,1,58344,40,6.855889208830385e-4
PRDE1,2,57625,31,5.379609544468546e-4
PRDE1,3,59533,26,4.3673256849142495e-4
