Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,588,2390,0.1974479516453996
N2,2,942,4088,0.18727634194831014
N2,3,660,2545,0.2059282371294852
PRDE1,1,2222,5205,0.29917867241147167
PRDE1,2,1824,4376,0.29419354838709677
PRDE1,3,1815,4931,0.2690483249332938
