Sample,Replicate,Total_Replicate_Depth,Total_Alt_LoF,LoF_Rate
N2,1,49369,6072,0.12299216107273796
N2,2,80934,11055,0.1365927793016532
N2,3,56632,7123,0.12577694589631302
PRDE1,1,58344,7566,0.12967914438502673
PRDE1,2,57625,7492,0.13001301518438177
PRDE1,3,59533,7864,0.1320948045621756
