Sample,Replicate,Total_Replicate_Depth,Total_Alt_Deleterious,Deleterious_Rate
N2,1,49369,7128,0.1443821021288663
N2,2,80934,13748,0.16986680505102925
N2,3,56632,8541,0.1508157931911287
PRDE1,1,58344,9501,0.16284450843274373
PRDE1,2,57625,8969,0.15564425162689804
PRDE1,3,59533,9483,0.15928980565400702
