Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,351,1527,0.1869009584664537
N2,2,673,2981,0.18418171866447727
N2,3,464,1727,0.21177544500228207
PRDE1,1,486,2241,0.1782178217821782
PRDE1,2,456,1898,0.1937128292268479
PRDE1,3,626,3045,0.17052574230454917
