Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,597,2399,0.1992656875834446
N2,2,952,4098,0.18851485148514852
N2,3,660,2545,0.2059282371294852
PRDE1,1,2233,5216,0.2997717814471741
PRDE1,2,1832,4384,0.2947232947232947
PRDE1,3,1815,4931,0.2690483249332938
