Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,8711,40700,0.17629677602153368
N2,2,15812,65308,0.19492110453648914
N2,3,10717,46003,0.18894569816643159
PRDE1,1,11714,46764,0.20031464824378398
PRDE1,2,11218,46456,0.19450705690605818
PRDE1,3,11870,47764,0.19904752322500588
