Sample,Replicate,Total_Alt,Total_Ref,Total_Reads,Proportion_Alt,Proportion_Ref
N2,1,8690,40679,49369,0.17602138994105612,0.8239786100589439
N2,2,15713,65209,80922,0.19417463730505918,0.8058253626949408
N2,3,10673,45959,56632,0.18846235343975137,0.8115376465602486
PRDE1,1,11644,46694,58338,0.1995954609345538,0.8004045390654462
PRDE1,2,11190,46428,57618,0.19421014266375092,0.8057898573362491
PRDE1,3,11809,47707,59516,0.19841723234088313,0.8015827676591168
