Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
N2,1,2860,13688,0.17283055354121343
N2,2,4871,22783,0.1761408837781153
N2,3,3388,15594,0.17848488041302285
PRDE1,1,3480,15912,0.17945544554455445
PRDE1,2,3373,14886,0.18473081767895286
PRDE1,3,3325,15257,0.17893660531697342
