Intron_Status,Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
Genes with Introns,N2,1,2761,13144,0.17359320968248979
Genes with Introns,N2,2,4633,21526,0.17710921671317711
Genes with Introns,N2,3,3294,15134,0.17874972867375732
Genes with Introns,PRDE1,1,3347,15291,0.17957935400794076
Genes with Introns,PRDE1,2,3242,14344,0.18435118844535425
Genes with Introns,PRDE1,3,3195,14750,0.17804402340484815
